delta	delta_high	alpha	Pizza Price	Pizza Amount	Fondue Price	Fondue Amount	Italian Wage	Swiss Hours Worked	Italian Wage	Swiss Hours Worked	Deviation
0.25	0.025	7	16.324	170.837	34.343	211.357	6.57	255.599	5.721	138.873	0.014814
0.25	0.025	7.5	13.829	162.769	36.292	214.764	6.64	268.82	5.589	123.349	0.014284
0.25	0.025	8	11.283	153.208	38.143	217.972	6.7	281.815	5.451	107.684	0.014061
0.25	0.025	8.5	8.673	141.563	39.881	220.977	6.744	294.514	5.307	92.171	0.012084
0.25	0.025	9	5.988	126.192	41.479	223.826	6.773	307.034	5.157	76.833	0.011727
0.25	0.05	1	43.106	215.764	6.261	118.051	5.463	110.643	6.679	280.18	0.010935
0.25	0.05	1.5	41.541	212.686	9.09	132.81	5.601	120.273	6.684	269.558	0.011019
0.25	0.05	2	39.784	209.496	11.834	144.167	5.727	130.528	6.668	259.172	0.010711
0.25	0.05	2.5	37.907	206.11	14.516	153.472	5.846	141	6.639	248.685	0.011571
0.25	0.05	3	35.919	202.522	17.142	161.433	5.958	151.682	6.599	238.145	0.012011
0.25	0.05	3.5	33.833	198.691	19.712	168.429	6.064	162.506	6.548	227.488	0.011875
0.25	0.05	4	31.663	194.611	22.232	174.624	6.163	173.274	6.488	216.781	0.012471
0.25	0.05	4.5	29.409	190.223	24.689	180.26	6.255	184.138	6.419	206.009	0.012361
0.25	0.05	5	27.062	185.499	27.062	185.5	6.338	195.306	6.338	195.294	0.010812
